,q_id,corr_opt,diff_lev,top_id,chap_id
720,3658,2,12,4024,366
721,3659,2,16,4275,391
722,3660,3,10,4199,383
723,3661,1,15,4184,385
724,3662,3,4,4167,380
725,3663,2,12,4233,388
726,3664,3,10,4004,363
727,3665,3,13,4209,384
728,3666,2,1,4234,388
729,3667,1,12,4176,386
730,3668,4,1,4198,383
731,3669,2,10,3984,361
732,3670,4,10,3983,361
733,3671,3,13,4449,599
736,3674,3,25,4476,603
737,3675,3,25,4477,604
738,3676,1,20,4477,604
739,3677,1,15,4473,603
740,3678,3,20,4493,607
741,3679,1,25,4493,607
742,3680,4,15,4490,607
743,3681,4,26,4496,608
744,3682,4,13,4341,624
745,3683,1,13,4365,588
746,3684,2,13,4381,590
747,3685,2,26,4365,588
748,3686,3,13,4360,588
749,3687,2,1,4341,624
750,3688,4,22,4554,617
751,3689,2,1,4564,619
753,3691,3,13,4554,617
754,3692,2,10,4533,612
755,3693,1,10,4515,610
756,3694,4,7,4507,609
757,3695,2,22,4525,611
758,3696,3,10,4512,610
762,3700,4,10,4440,598
764,3702,2,13,4449,599
765,3703,4,15,4466,602
766,3704,4,10,4387,626
767,3705,4,13,4430,596
768,3706,4,13,4387,626
769,3707,2,1,4440,598
770,3708,4,4,4387,626
771,3709,3,10,4386,626
772,3710,3,10,4529,612
773,3711,2,25,4530,612
774,3712,4,25,4522,611
775,3713,1,1,4538,614
776,3714,3,25,4522,611
777,3715,2,16,4502,609
778,3716,3,10,4340,624
779,3717,4,13,4485,606
780,3718,2,13,4553,617
781,3719,1,13,4484,606
782,3720,1,25,4412,594
783,3721,2,22,4430,596
784,3722,3,25,4412,594
785,3723,3,15,4545,615
786,3724,2,15,4551,616
787,3725,1,10,4551,616
788,3726,4,13,4546,615
789,3727,3,22,4510,610
790,3728,4,1,4535,613
791,3729,3,13,4503,609
792,3730,2,26,4500,609
793,3731,2,26,4511,610
794,3732,3,25,4370,589
795,3733,2,25,4481,605
796,3734,4,26,4515,610
797,3735,4,25,4484,606
798,3736,2,26,4554,617
799,3737,1,26,4571,620
800,3738,4,26,4565,620
801,3739,4,25,4552,617
802,3740,3,13,4559,618
803,3741,2,26,4571,620
804,3742,4,1,4392,591
805,3743,3,1,4386,626
806,3744,2,1,4387,626
807,3745,2,10,4421,595
808,3746,4,10,4387,626
809,3747,1,1,4375,625
810,3748,2,10,4403,592
811,3749,3,1,4375,625
812,3750,2,1,4377,625
813,3751,3,1,4553,617
814,3752,4,13,4376,625
815,3753,3,1,4377,625
816,3754,2,13,4366,589
817,3755,3,13,4350,587
818,3756,1,13,4339,624
819,3757,1,13,4342,624
821,3759,4,13,4484,606
822,3760,3,13,4347,587
823,3761,1,10,3992,364
824,3764,3,23,3826,329
825,3765,4,15,3834,331
826,3766,2,25,3847,332
827,3767,2,9,3855,334
828,3768,4,17,3832,330
829,3769,4,26,3835,331
830,3770,1,25,3871,337
831,3771,3,15,3898,344
832,3772,3,25,3844,332
